lang	lang_desc	denom	num	pct100str	pct100	denom_1	num_1	pct100str_1	pct100_1	denom_2	num_2	pct100str_2	pct100_2	denom_3	num_3	pct100str_3	pct100_3	denom_4	num_4	pct100str_4	pct100_4	denom_5	num_5	pct100str_5	pct100_5
wa	Walloon	2499	650	26.0	26.010404161664667	503	212	42.1	42.14711729622267	503	126	25.0	25.049701789264414	500	114	22.8	22.8	500	112	22.4	22.4	493	86	17.4	17.44421906693712
ht	Haitian Creole	2499	635	25.4	25.41016406562625	503	201	40.0	39.96023856858847	503	141	28.0	28.031809145129223	500	116	23.2	23.2	500	115	23.0	23.0	493	62	12.6	12.57606490872211
bo	Tibetan	2499	635	25.4	25.41016406562625	503	192	38.2	38.17097415506958	503	128	25.4	25.447316103379723	500	118	23.6	23.6	500	107	21.4	21.4	493	90	18.3	18.255578093306287
rm	Romansh	2499	626	25.1	25.0500200080032	503	209	41.6	41.5506958250497	503	129	25.6	25.646123260437374	500	108	21.6	21.6	500	110	22.0	22.0	493	70	14.2	14.198782961460447
br	Breton	2499	616	24.6	24.649859943977592	503	196	39.0	38.9662027833002	503	124	24.7	24.652087475149106	500	114	22.8	22.8	500	104	20.8	20.8	493	78	15.8	15.821501014198782
zza	Zazaki	2499	600	24.0	24.009603841536613	503	190	37.8	37.77335984095428	503	124	24.7	24.652087475149106	500	109	21.8	21.8	500	100	20.0	20.0	493	77	15.6	15.61866125760649
fy	West Frisian	2499	599	24.0	23.969587835134053	503	235	46.7	46.71968190854871	503	117	23.3	23.26043737574553	500	99	19.8	19.8	500	78	15.6	15.6	493	70	14.2	14.198782961460447
qu	Quechua	2499	594	23.8	23.769507803121247	503	193	38.4	38.36978131212724	503	125	24.9	24.85089463220676	500	103	20.6	20.6	500	96	19.2	19.2	493	77	15.6	15.61866125760649
nv	Navajo	2499	589	23.6	23.569427771108444	503	177	35.2	35.188866799204774	503	111	22.1	22.067594433399602	500	108	21.6	21.6	500	101	20.2	20.2	493	92	18.7	18.66125760649087
rup	Aromanian	2499	585	23.4	23.4093637454982	503	208	41.4	41.35188866799205	503	114	22.7	22.664015904572565	500	93	18.6	18.6	500	108	21.6	21.6	493	62	12.6	12.57606490872211
nan-hbl	Hokkien	2499	581	23.2	23.249299719887954	503	171	34.0	33.99602385685885	503	119	23.7	23.658051689860834	500	114	22.8	22.8	500	97	19.4	19.4	493	80	16.2	16.227180527383368
am	Amharic	2499	556	22.2	22.24889955982393	503	165	32.8	32.80318091451292	503	106	21.1	21.073558648111334	500	118	23.6	23.6	500	91	18.2	18.2	493	76	15.4	15.415821501014198
vec	Venetan	2499	556	22.2	22.24889955982393	503	206	41.0	40.95427435387674	503	97	19.3	19.284294234592444	500	99	19.8	19.8	500	91	18.2	18.2	493	63	12.8	12.778904665314402
chr	Cherokee	2499	552	22.1	22.088835534213686	503	181	36.0	35.984095427435385	503	108	21.5	21.47117296222664	500	103	20.6	20.6	500	92	18.4	18.4	493	68	13.8	13.793103448275861
acw	Hijazi Arabic	2499	546	21.8	21.84873949579832	503	182	36.2	36.18290258449304	503	119	23.7	23.658051689860834	500	94	18.8	18.8	500	80	16.0	16.0	493	71	14.4	14.401622718052739
haw	Hawaiian	2499	528	21.1	21.12845138055222	503	169	33.6	33.59840954274354	503	102	20.3	20.278330019880716	500	109	21.8	21.8	500	82	16.4	16.4	493	66	13.4	13.387423935091277
gu	Gujarati	2499	518	20.7	20.72829131652661	503	140	27.8	27.83300198807157	503	116	23.1	23.061630218687874	500	102	20.4	20.4	500	91	18.2	18.2	493	69	14.0	13.995943204868155
si	Sinhalese	2499	504	20.2	20.168067226890756	503	161	32.0	32.007952286282304	503	102	20.3	20.278330019880716	500	97	19.4	19.4	500	74	14.8	14.8	493	70	14.2	14.198782961460447
