lang_name1	lang_name2	lang_name3	n_page_w_tr	n_tte_w_tr	n_tte_wo_tr	n_tte_icho_w_tr
Bargam			2	2	0	2
Bari			3	3	2	3
Bariai			2	2	0	2
Bariji			2	2	0	2
Barikewa			2	2	0	2
Barngarla			15	15	0	15
Barok			1	1	0	1
Barombi			1	1	0	1
Barranbinya			1	1	0	1
Barrow Point			0	0	1	0
Bartangi			10	10	0	10
Baruga			3	4	0	4
Baruya			2	2	0	2
Baré			1	1	0	1
Barí			2	2	0	2
Basa			1	1	0	1
Basaa			5	5	1	5
Basap			2	2	0	2
Basay			3	3	0	3
Bashkir			3683	4811	39	4811
Bashkir	Egyptian Arabic		1	1	0	
Basketo			1	1	0	1
Baskhort			1	1	0	1
Basque			6458	7339	196	7338
Basque	Zuberoan		1	1	0	
Bassa			20	20	0	20
Bassari			1	1	0	1
Batak			1	1	48	48
Batak	Alas-Kluet Batak		1	1	0	
Batak	Dairi Batak		4	4	0	
Batak	Karo Batak		26	26	0	
Batak	Mandailing Batak		4	4	0	
Batak	Palawan Batak		5	5	0	
Batak	Simalungun Batak		9	9	0	
Batak	Toba Batak		34	35	1	
Batak Toba			1	1	0	1
Batek			4	4	0	4
Bathari			1	1	0	1
Bats			153	154	8	154
Batu			2	2	0	2
Batui			1	1	0	1
Bau			2	2	0	2
Baure			17	17	0	17
Bauro			3	3	0	3
Bauwaki			1	1	0	1
Bauzi			1	1	0	1
Bavarian			2	2	0	2
Baybayanon			2	2	0	2
Beary			2	2	0	2
Beaver			5	5	0	5
Bebe			1	1	0	1
Bedjond			2	2	0	2
Beembe			0	0	1	0
Beezen			1	1	0	1
Begbere-Ejar			1	1	0	1
Beja			14	14	1	14
Bekati'			2	2	0	2
Belait			8	8	0	8
Belanda Bor			1	1	0	1
Belarusian			15489	19059	57	19060
Belarusian	Latin		22	22	0	
Belarusian	Traditional		2	2	0	
Belarussian			2	2	0	2
Beli (New Guinea)			2	2	0	2
Beli (South Sudan)			3	3	0	3
Belizean Creole			63	68	0	68
Belizian Creole			2	2	0	2
Bella Coola			9	10	0	10
Bemba			38	38	0	38
Bembe			0	0	1	0
Bena			1	1	0	1
Benabena			1	1	0	1
Bench			1	1	0	1
Bende			5	5	0	5
Beneraf			1	1	0	1
Beng			1	1	0	1
Bengali			7463	8447	195	8446
Bengali	Mandarin		1	1	0	
Bengali	Old Bengali		1	1	0	
Benyadu'			2	2	0	2
Beothuk			3	3	0	3
Bepour			1	1	0	1
Berau Malay			1	1	0	1
Berawan			8	8	0	8
Berber			1	1	0	1
Berbice Creole Dutch			5	5	0	5
Berik			2	2	0	2
Berom			1	1	0	1
Berta			2	2	0	2
Berti			1	1	0	1
Besisi			3	3	0	3
Betawi			112	126	0	126
Betoi			5	5	0	5
Bezhta			32	32	0	32
Bhilali			1	1	0	1
Bhili			1	1	0	1
Bhojpuri			710	726	9	724
Biak			4	4	0	4
Biangai			1	1	0	1
Biao			2	2	0	2
Bibaali			2	2	0	2
Biblical Hebrew			3	3	0	3
Bidayuh			0	0	223	212
Bidayuh	Bau Bidayuh		159	159	11	
Bidayuh	Bau-Jagoi		1	1	0	
Bidayuh	Biatah Bidayuh		51	52	0	
Bidayuh	Bukar-Sadong (Serian)		1	1	0	
Bidayuh	Bukar-Sadung Bidayuh		9	9	0	
Bidiyo			1	1	0	1
Biem			2	2	0	2
Biete			1	1	0	1
Big Nambas			37	38	0	38
Bih			2	2	0	2
Bihari			58	58	0	58
Bikol			1	1	1462	1449
Bikol	Bikol central		1	1	0	
Bikol	Buhi'non Bikol		3	3	0	
Bikol	Central Bikol		1204	1425	36	
Bikol	Central Bikol	Bikol Daet	1	1	0	
Bikol	Central Bikol	Bikol Legazpi	22	22	0	
Bikol	Central Bikol	Bikol Legazpi, Sorsogon	1	1	0	
Bikol	Central Bikol	Bikol Naga	22	22	0	
Bikol	Central Bikol	Bikol Partido	1	1	0	
Bikol	Central Bikol	Bikol Tabaco, Partido	1	1	0	
Bikol	Central Bikol	Eastern Cham	0	0	1	
Bikol	Central Bikol	Western Cham	0	0	1	
Bikol	East Miraya Bikol		4	4	0	
Bikol	Libon Bikol		3	3	0	
Bikol	Northern Catanduanes Bikol		8	8	0	
Bikol	Rinconada Bikol		8	8	0	
Bikol	Southern Catanduanes Bikol		3	3	0	
Bikol	West Miraya Bikol		4	4	0	
Bikol Central			1	1	0	1
Bilba			4	4	0	4
Bilbil			1	1	0	1
Biliau			3	3	0	3
Biloxi			9	9	0	9
Bilua			4	4	0	4
Bilur			1	1	0	1
Bima			6	6	0	6
Bimin			1	1	0	1
Bimoba			1	1	0	1
Binandere			1	1	0	1
Bintulu			3	3	0	3
Binukid			19	19	0	19
Bipi			1	1	0	1
Birgid			1	1	0	1
Birgit			1	1	0	1
Birifor			0	0	1	0
Birifor	Southern Birifor		0	0	1	
Biritai			1	1	0	1
Biseni			6	6	0	6
Bishnupriya			1	1	0	1
Bislama			185	187	8	187
Bissa			5	6	0	6
Bitare			2	2	0	2
Biwat			1	1	0	1
Blaan			0	0	3	3
Blaan	Koronadal Blaan		2	2	0	
Blaan	Sarangani Blaan		1	1	0	
Blackfoot			66	70	1	71
Blackfoot	Latin		1	1	0	
Blackfoot	Syllabics		1	1	0	
Blagar			4	4	0	4
Blang			1	1	0	1
Blin			6	6	1	6
Bo-Rukul			1	1	0	1
Boano (Maluku)			1	1	0	1
Boano (Sulawesi)			1	1	0	1
Bobongko			3	3	0	3
Bobot			1	1	0	1
Bodo (Central Africa)			1	1	0	1
Bodo (India)			9	9	0	9
Bodo Gadaba			1	1	0	1
Bofi			1	1	0	1
Bogaya			2	2	0	2
Boghom			2	2	0	2
Bokar			5	5	0	5
Boko			1	1	0	1
Bokobaru			1	1	0	1
Bokoto			1	1	0	1
Bokyi			2	2	0	2
Bola			2	2	0	2
Bolango			1	1	0	1
Bole			51	52	0	52
Bolia			1	1	0	1
Bolinao			7	7	0	7
Boloki			39	39	0	39
Bolyu			1	1	0	1
Bonan			6	6	1	6
Bondei			2	2	0	2
Bondo			1	1	0	1
Bonerate			2	2	0	2
Bonggi			4	4	0	4
Bonggo			2	2	0	2
Bongili			1	1	0	1
Bongo			3	3	0	3
Bonkiman			3	3	0	3
Bontoc			0	0	67	66
Bontoc	Central Bontoc		10	10	0	
Bontoc	Eastern Bontoc		56	58	1	
Bookan			8	8	0	8
Boor			1	1	0	1
Bora			3	3	0	3
Borong			1	1	0	1
Borôro			47	47	0	47
Boselewa			1	1	0	1
Botlikh			3	3	1	3
Botolan Sambal			2	2	0	2
Bourbonnais-Berrichon			2	2	0	2
Bourguignon			16	17	0	17
Bouyei			112	113	10	113
Bozo			0	0	1	1
Bozo	Hainyaxo Bozo		1	1	0	
Bozo	Jenaama Bozo		1	1	0	
Bragat			1	1	0	1
Brahui			47	48	1	48
Braj			7	7	0	7
Brazilian Sign Language			1	1	2	1
Brem			1	1	0	1
Breton			3599	4075	76	4073
Breton	Middle Breton		6	6	0	
Breton	Old Breton		3	3	0	
Bribri			2	2	0	2
British Sign Language			2	2	1	2
Brokpake			1	1	0	1
Brokskat			1	1	0	1
Broome Pearling Lugger Pidgin			15	15	0	15
Bru			0	0	7	6
Bru	Eastern Bru		6	6	1	
Brunei Bisaya			27	27	0	27
Bu			1	1	0	1
Buang			0	0	1	1
Buang	Mapos Buang		1	1	0	
Bube			4	4	0	4
Bubi			1	1	0	1
Budibud			1	1	0	1
Budukh			61	61	0	61
Buduma			1	1	0	1
Budza			1	1	1	1
Bugan			1	1	0	1
Bughotu			3	3	0	3
Buginese			107	107	3	107
Bugun			1	1	0	1
Buhutu			1	1	0	1
Bukat			2	2	0	2
Bukawa			2	2	0	2
Bukhari			5	6	0	6
Bukitan			3	3	0	3
Bukiyip			3	3	0	3
Bukusu			4	4	0	4
Bulgar			1	1	0	1
Bulgaria			0	0	1	0
Bulgarian			34202	58504	3160	58498
Bulgarian	Gheg Albanian		1	1	0	
Bulgebi			0	0	1	0
Buli (Ghana)			4	5	0	5
Buli (Indonesia)			3	3	0	3
Bulu (Cameroon)			3	3	0	3
Bulu (New Guinea)			2	2	0	2
Bulungan			3	3	0	3
Bunaba			2	2	0	2
Bunama			2	2	0	2
Bundeli			2	2	0	2
Bungku			2	2	2	2
Bungu			2	2	0	2
Bunu			0	0	1	1
